number,name,runningOffice,party
00,NULL,PRESIDENT, NULL
01,BLANK,PRESIDENT, BLANK
00,NULL,GOVERNOR, NULL
01,BLANK,GOVERNOR, BLANK
000,NULL,SENATOR, NULL
001,BLANK,SENATOR, BLANK
0000,NULL,STATE_REPRESENTATIVE, NULL
0001,BLANK,STATE_REPRESENTATIVE, BLANK
00000,NULL,FEDERAL_REPRESENTATIVE, NULL
00001,BLANK,FEDERAL_REPRESENTATIVE, BLANK
13,LUIZ INÁCIO LULA DA SILVA,PRESIDENT,PT
22,FLÁVIO NANTES BOLSONARO,PRESIDENT,PL
30,ROMEU ZEMA NETO,PRESIDENT,NOVO
55,RONALDO RAMOS CAIADO,PRESIDENT,PSD
27,ALDO REBELO,PRESIDENT,DC
14,RENAN ANTÔNIO FERREIRA DOS SANTOS,PRESIDENT,MISSÃO
70,AUGUSTO JORGE CURY,PRESIDENT,AVANTE
33,BENEVENUTO DACIOLO FONSECA DOS SANTOS,PRESIDENT,MOBILIZA
21,EDMILSON SILVA COSTA,PRESIDENT,PCB
16,HERTZ DA CONCEIÇÃO DIAS,PRESIDENT,PSTU
29,RUI COSTA PIMENTA,PRESIDENT,PCO
80,SAMARA MARTINS DA SILVA,PRESIDENT,UP
10,TARCÍSIO DE FREITAS,GOVERNOR,REPUBLICANOS
22,ANDRÉ DO PRADO,GOVERNOR,PL
50,ERIKA HILTON,GOVERNOR,PSOL
13,FERNANDO HADDAD,GOVERNOR,PT
55,FELÍCIO RAMUTH,GOVERNOR,PSD
40,GERALDO ALCKMIN,GOVERNOR,PSB
11,GUILHERME DERRITE,GOVERNOR,PP
15,RICARDO NUNES,GOVERNOR,MDB
45,PAULO SERRA,GOVERNOR,PSDB
14,KIM KATAGUIRI,GOVERNOR,MISSÃO
10000,JORGE WILSON GONÇALVES DE MATTOS,STATE_REPRESENTATIVE,REPUBLICANOS
10001,RALFI RAFAEL DA SILVA,STATE_REPRESENTATIVE,REPUBLICANOS
10003,HELIO GERALDO RAMOS JUNIOR,STATE_REPRESENTATIVE,REPUBLICANOS
10007,CLEUSA APARECIDA DOS SANTOS,STATE_REPRESENTATIVE,REPUBLICANOS
10010,VANESSA GALLONI CARRERA,STATE_REPRESENTATIVE,REPUBLICANOS
10011,SONIA APARECIDA GONÇALVES BELARMINO,STATE_REPRESENTATIVE,REPUBLICANOS
10014,VIVIAN MAIRA DA SILVA MARCOS SOARES,STATE_REPRESENTATIVE,REPUBLICANOS
10017,DANILO CESAR CAMPETTI,STATE_REPRESENTATIVE,REPUBLICANOS
10018,CACILDA SANTOS MAGALHÃES,STATE_REPRESENTATIVE,REPUBLICANOS
10020,SILVIO ALESSANDER ENCARNAÇÃO,STATE_REPRESENTATIVE,REPUBLICANOS
10021,ERIKA STANCOLOVICHE VEIGA,STATE_REPRESENTATIVE,REPUBLICANOS
10022,EDSON ANTONIO DE SOUZA,STATE_REPRESENTATIVE,REPUBLICANOS
10026,TEREZINHA DE JESUS NOGUEIRA,STATE_REPRESENTATIVE,REPUBLICANOS
10030,EDNA MARIA VERTELLO SILVA,STATE_REPRESENTATIVE,REPUBLICANOS
10033,ROGERIO PEDROSO DE PADUA JUNIOR,STATE_REPRESENTATIVE,REPUBLICANOS
10038,CAIQUE MAFRA BARBOSA,STATE_REPRESENTATIVE,REPUBLICANOS
10055,IARA FRANCISCA DOS SANTOS,STATE_REPRESENTATIVE,REPUBLICANOS
10060,JORGE LUIS DE SOUZA RODRIGUES,STATE_REPRESENTATIVE,REPUBLICANOS
10069,WAGNER BERNARDINO DA SILVA,STATE_REPRESENTATIVE,REPUBLICANOS
10070,WALTER PEREIRA FERREIRA,STATE_REPRESENTATIVE,REPUBLICANOS
10087,MARCO ROBERTO DA SILVA,STATE_REPRESENTATIVE,REPUBLICANOS
10099,LEONICE ALVES DA PAZ,STATE_REPRESENTATIVE,REPUBLICANOS
10100,AILDO RODRIGUES FERREIRA,STATE_REPRESENTATIVE,REPUBLICANOS
10101,EDISON LOURENÇO RICCOMI,STATE_REPRESENTATIVE,REPUBLICANOS
10102,RUBI CRUSE,STATE_REPRESENTATIVE,REPUBLICANOS
10107,FABIO DE CAMARGO TELLES,STATE_REPRESENTATIVE,REPUBLICANOS
